     #Energy         O_s         O_p        Mo_s        Mo_p        Mo_d
   -60.49717     0.00001     0.00001    33.74578     0.00208     0.00310
   -60.47417     0.00001     0.00000    26.22236     0.00163     0.00241
   -60.45117     0.00000     0.00000    19.93750     0.00125     0.00184
   -60.42817     0.00000     0.00000    14.81799     0.00094     0.00137
   -60.40417     0.00000     0.00000    10.76042     0.00069     0.00100
   -60.38117     0.00000     0.00000     7.63099     0.00049     0.00071
   -60.35817     0.00000     0.00000     5.28366     0.00034     0.00049
   -60.33517     0.00000     0.00000     3.57031     0.00023     0.00033
   -60.31217     0.00000     0.00000     2.35414     0.00016     0.00022
   -60.28917     0.00000     0.00000     1.51418     0.00010     0.00014
   -60.26517     0.00000     0.00000     0.95004     0.00006     0.00009
   -60.24217     0.00000     0.00000     0.58131     0.00004     0.00006
   -60.21917     0.00000     0.00000     0.34688     0.00002     0.00003
   -60.19617     0.00000     0.00000     0.20179     0.00001     0.00002
   -60.17317     0.00000     0.00000     0.11449     0.00001     0.00001
   -60.14917     0.00000     0.00000     0.06332     0.00000     0.00001
   -60.12617     0.00000     0.00000     0.03414     0.00000     0.00000
   -60.10317     0.00000     0.00000     0.01795     0.00000     0.00000
   -60.08017     0.00000     0.00000     0.00919     0.00000     0.00000
   -60.05717     0.00000     0.00000     0.00459     0.00000     0.00000
   -60.03417     0.00000     0.00000     0.00224     0.00000     0.00000
   -60.01017     0.00000     0.00000     0.00106     0.00000     0.00000
   -59.98717     0.00000     0.00000     0.00049     0.00000     0.00000
   -59.96417     0.00000     0.00000     0.00022     0.00000     0.00000
   -59.94117     0.00000     0.00000     0.00010     0.00000     0.00000
   -59.91817     0.00000     0.00000     0.00004     0.00000     0.00000
   -59.89417     0.00000     0.00000     0.00002     0.00000     0.00000
   -59.87117     0.00000     0.00000     0.00001     0.00000     0.00000
   -59.84817     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.82517     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.80217     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.77917     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.75517     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.73217     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.70917     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.68617     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.66317     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.63917     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.61617     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.59317     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.57017     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.54717     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.52417     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.50017     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.47717     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.45417     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.43117     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.40817     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.38417     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.36117     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.33817     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.31517     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.29217     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.26917     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.24517     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.22217     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.19917     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.17617     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.15317     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.12917     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.10617     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.08317     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.06017     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.03717     0.00000     0.00000     0.00000     0.00000     0.00000
   -59.01417     0.00000     0.00000     0.00000     0.00000     0.00000
