Tue Jun 02 09:08:45 2020

Number of Points = 3029
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-21.617526	-4.717834	1.450816	0.004088	0.446552
-21.518417	-4.750571	1.460813	0.004070	0.446559
-21.364186	-4.724804	1.470810	0.004042	0.446857
-21.425719	-4.705195	1.480806	0.004053	0.446849
-21.295691	-4.749948	1.490803	0.004030	0.446852
-21.314048	-4.742702	1.500800	0.004033	0.446855
-21.200005	-4.729083	1.510797	0.004013	0.447054
-21.203260	-4.699873	1.520794	0.004014	0.447158
-21.051972	-4.752302	1.530790	0.003986	0.447161
-21.219010	-4.694749	1.540787	0.004017	0.447155
-20.985400	-4.712242	1.550784	0.003974	0.447396
-21.018011	-4.682715	1.560781	0.003980	0.447463
-20.670141	-4.804254	1.570778	0.003918	0.447466
-20.989112	-4.691952	1.580774	0.003975	0.447465
-20.698547	-4.712462	1.590771	0.003923	0.447769
-20.788785	-4.673071	1.600768	0.003939	0.447796
-20.647862	-4.724208	1.610765	0.003914	0.447790
-20.571047	-4.735108	1.620762	0.003900	0.447850
-20.308602	-4.760679	1.630758	0.003853	0.448098
-20.447416	-4.710991	1.640755	0.003878	0.448100
-20.351877	-4.746470	1.650752	0.003861	0.448093
-20.554386	-4.657900	1.660749	0.003897	0.448156
-20.181156	-4.718558	1.670746	0.003830	0.448419
-20.140063	-4.732277	1.680742	0.003823	0.448421
-20.110667	-4.743271	1.690739	0.003818	0.448418
-20.125515	-4.713153	1.700736	0.003820	0.448510
-19.862451	-4.747072	1.710733	0.003773	0.448727
-19.902564	-4.733785	1.720730	0.003780	0.448723
-19.866354	-4.746382	1.730726	0.003774	0.448723
-19.939118	-4.707489	1.740723	0.003787	0.448772
-19.663135	-4.726283	1.750720	0.003737	0.449062
-19.647696	-4.731027	1.760717	0.003735	0.449064
-19.800252	-4.677252	1.770714	0.003762	0.449063
-19.627447	-4.694068	1.780710	0.003731	0.449226
-19.614640	-4.673816	1.790707	0.003729	0.449317
-19.597812	-4.679409	1.800704	0.003726	0.449318
-19.461171	-4.670693	1.810701	0.003701	0.449528
-19.314290	-4.698479	1.820698	0.003675	0.449616
-19.361291	-4.680632	1.830694	0.003683	0.449620
-19.307828	-4.670187	1.840691	0.003674	0.449728
-19.152595	-4.670595	1.850688	0.003646	0.449928
-19.132971	-4.679668	1.860685	0.003642	0.449920
-19.121593	-4.682936	1.870682	0.003640	0.449922
-18.846784	-4.690220	1.880678	0.003591	0.450253
-18.771439	-4.714704	1.890675	0.003577	0.450260
-18.819310	-4.700705	1.900672	0.003586	0.450248
-18.806803	-4.704287	1.910669	0.003584	0.450251
-18.684497	-4.681899	1.920666	0.003562	0.450492
-18.540059	-4.715957	1.930662	0.003536	0.450554
-18.590627	-4.698183	1.940659	0.003545	0.450553
-18.522421	-4.723725	1.950656	0.003533	0.450547
-18.387218	-4.696822	1.960653	0.003508	0.450822
-18.264455	-4.724578	1.970650	0.003486	0.450878
-18.321635	-4.706092	1.980646	0.003497	0.450871
-18.296910	-4.714914	1.990643	0.003492	0.450870
-18.155797	-4.698771	2.000640	0.003467	0.451113
-18.042095	-4.719507	2.010637	0.003447	0.451184
-18.169056	-4.673288	2.020634	0.003470	0.451188
-17.956776	-4.750012	2.030630	0.003431	0.451181
-17.987397	-4.671086	2.040627	0.003437	0.451431
-17.755653	-4.728908	2.050624	0.003395	0.451519
-17.716238	-4.743929	2.060621	0.003388	0.451514
-17.778552	-4.721430	2.070618	0.003399	0.451515
-17.718845	-4.691029	2.080614	0.003389	0.451704
-17.508257	-4.734149	2.090611	0.003351	0.451818
-17.565283	-4.713834	2.100608	0.003361	0.451818
-17.497016	-4.737268	2.110605	0.003349	0.451820
-17.376675	-4.758881	2.120602	0.003327	0.451896
-17.189985	-4.761430	2.130598	0.003294	0.452129
-17.356753	-4.702425	2.140595	0.003324	0.452129
-17.420950	-4.678381	2.150592	0.003336	0.452133
-17.158322	-4.718449	2.160589	0.003288	0.452326
-17.125055	-4.700672	2.170586	0.003282	0.452434
-17.103729	-4.707052	2.180582	0.003278	0.452437
-17.235734	-4.653898	2.190579	0.003302	0.452461
-16.869200	-4.700798	2.200576	0.003236	0.452763
-16.904150	-4.689704	2.210573	0.003243	0.452758
-16.857289	-4.706428	2.220570	0.003234	0.452756
-16.693287	-4.725248	2.230566	0.003205	0.452899
-16.486469	-4.754238	2.240563	0.003167	0.453060
-16.613446	-4.709787	2.250560	0.003191	0.453058
-16.593796	-4.715554	2.260557	0.003187	0.453062
-16.600996	-4.705414	2.270554	0.003188	0.453089
-16.544016	-4.644568	2.280550	0.003178	0.453385
-16.379387	-4.703185	2.290547	0.003149	0.453383
-16.327298	-4.722115	2.300544	0.003139	0.453380
-16.172671	-4.719773	2.310541	0.003111	0.453588
-16.069486	-4.727591	2.320538	0.003093	0.453692
-15.929396	-4.776670	2.330534	0.003068	0.453693
-15.960579	-4.765341	2.340531	0.003073	0.453693
-16.020572	-4.743969	2.350528	0.003084	0.453694
-15.933929	-4.705651	2.360525	0.003069	0.453945
-15.685066	-4.770438	2.370522	0.003024	0.454029
-15.786920	-4.736331	2.380518	0.003042	0.454022
-15.626809	-4.792469	2.390515	0.003013	0.454022
-15.724302	-4.756882	2.400512	0.003031	0.454026
-15.558301	-4.745516	2.410509	0.003001	0.454281
-15.592040	-4.730479	2.420506	0.003007	0.454292
-15.403982	-4.795906	2.430502	0.002974	0.454295
-15.540739	-4.744990	2.440499	0.002998	0.454304
-15.202383	-4.781364	2.450496	0.002937	0.454607
-15.312437	-4.743716	2.460493	0.002957	0.454602
-15.103375	-4.816998	2.470490	0.002920	0.454603
-15.165247	-4.794249	2.480486	0.002931	0.454606
-15.037449	-4.810222	2.490483	0.002908	0.454712
-14.958403	-4.783110	2.500480	0.002894	0.454912
-14.966594	-4.782163	2.510477	0.002895	0.454905
-15.167359	-4.710693	2.520474	0.002932	0.454906
-14.758965	-4.795279	2.530470	0.002858	0.455123
-14.789662	-4.755265	2.540467	0.002864	0.455229
-14.758236	-4.766665	2.550464	0.002858	0.455227
-14.807510	-4.748977	2.560461	0.002867	0.455228
-14.480672	-4.796289	2.570458	0.002808	0.455475
-14.471518	-4.783091	2.580454	0.002806	0.455535
-14.435412	-4.795596	2.590451	0.002800	0.455535
-14.401101	-4.807404	2.600448	0.002794	0.455535
-14.442973	-4.776544	2.610445	0.002801	0.455593
-14.318445	-4.750736	2.620442	0.002779	0.455847
-14.317830	-4.748381	2.630438	0.002779	0.455856
