Tue Jun 02 08:54:38 2020

Number of Points = 2985
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-13.407429	-4.323631	2.490483	0.002833	0.467030
-13.464996	-4.305871	2.500480	0.002843	0.467023
-13.343144	-4.275008	2.510477	0.002821	0.467288
-13.181658	-4.319091	2.520474	0.002791	0.467335
-13.228137	-4.303990	2.530470	0.002799	0.467333
-13.261689	-4.260394	2.540467	0.002805	0.467448
-12.997789	-4.293691	2.550464	0.002757	0.467662
-13.001335	-4.291989	2.560461	0.002758	0.467665
-13.118470	-4.251036	2.570458	0.002779	0.467666
-12.862249	-4.257741	2.580454	0.002732	0.467965
-12.832175	-4.269287	2.590451	0.002726	0.467964
-12.682480	-4.322310	2.600448	0.002699	0.467965
-12.703324	-4.302294	2.610445	0.002702	0.468011
-12.437102	-4.321130	2.620442	0.002654	0.468280
-12.505545	-4.295802	2.630438	0.002666	0.468286
-12.536411	-4.287098	2.640435	0.002671	0.468280
-12.507163	-4.284523	2.650432	0.002666	0.468328
-12.279925	-4.291645	2.660429	0.002625	0.468588
-12.215443	-4.312503	2.670426	0.002613	0.468597
-12.239780	-4.303603	2.680422	0.002617	0.468600
-12.286536	-4.262422	2.690419	0.002625	0.468689
-11.892848	-4.334344	2.700416	0.002554	0.468928
-12.049168	-4.279655	2.710413	0.002582	0.468929
-11.922186	-4.325892	2.720410	0.002558	0.468925
-11.985597	-4.300705	2.730406	0.002570	0.468937
-11.862473	-4.280474	2.740403	0.002547	0.469165
-11.766848	-4.310378	2.750400	0.002529	0.469180
-11.789150	-4.303572	2.760397	0.002533	0.469178
-11.707604	-4.308569	2.770394	0.002518	0.469264
-11.471697	-4.325646	2.780390	0.002475	0.469500
-11.583482	-4.288631	2.790387	0.002495	0.469493
-11.432108	-4.343038	2.800384	0.002468	0.469492
-11.442343	-4.332091	2.810381	0.002469	0.469519
-11.189591	-4.343215	2.820378	0.002423	0.469797
-11.209686	-4.338247	2.830374	0.002427	0.469792
-11.235683	-4.328947	2.840371	0.002431	0.469794
-11.035600	-4.400590	2.850368	0.002395	0.469792
-11.085421	-4.334868	2.860365	0.002403	0.469964
-10.862192	-4.370881	2.870362	0.002363	0.470117
-10.895893	-4.360169	2.880358	0.002369	0.470115
-10.870870	-4.370179	2.890355	0.002364	0.470112
-10.850481	-4.376843	2.900352	0.002360	0.470116
-10.695958	-4.368622	2.910349	0.002332	0.470339
-10.670523	-4.354552	2.920346	0.002327	0.470423
-10.534962	-4.403362	2.930342	0.002302	0.470421
-10.559751	-4.395968	2.940339	0.002306	0.470418
-10.595202	-4.381511	2.950336	0.002312	0.470427
-10.570218	-4.304459	2.960333	0.002308	0.470732
-10.347975	-4.382398	2.970330	0.002267	0.470735
-10.418623	-4.359448	2.980326	0.002280	0.470730
-10.270049	-4.366041	2.990323	0.002253	0.470894
-10.196905	-4.349249	3.000320	0.002239	0.471046
-10.083105	-4.390001	3.010317	0.002218	0.471045
-10.186719	-4.355155	3.020314	0.002237	0.471041
-9.946576	-4.390717	3.030310	0.002193	0.471216
-10.011480	-4.321933	3.040307	0.002205	0.471380
-9.760210	-4.410999	3.050304	0.002159	0.471380
-10.097317	-4.294213	3.060301	0.002220	0.471375
-9.813562	-4.323196	3.070298	0.002168	0.471627
-9.702779	-4.347214	3.080294	0.002148	0.471682
-9.623774	-4.375567	3.090291	0.002133	0.471682
-9.871314	-4.274606	3.100288	0.002178	0.471732
-9.636190	-4.283185	3.110285	0.002135	0.471996
-9.628599	-4.286488	3.120282	0.002133	0.471996
-9.510839	-4.288327	3.130278	0.002112	0.472137
-9.443722	-4.265733	3.140275	0.002099	0.472302
-9.323362	-4.308541	3.150272	0.002077	0.472302
-9.369383	-4.282058	3.160269	0.002085	0.472340
-9.172716	-4.269599	3.170266	0.002050	0.472630
-9.165220	-4.273556	3.180262	0.002048	0.472627
-9.155649	-4.276746	3.190259	0.002046	0.472630
-8.996431	-4.261858	3.200256	0.002017	0.472881
-8.909901	-4.279006	3.210253	0.002001	0.472930
-8.931327	-4.271936	3.220250	0.002005	0.472930
-8.840663	-4.271601	3.230246	0.001988	0.473045
-8.619893	-4.290178	3.240243	0.001948	0.473255
-8.759883	-4.241560	3.250240	0.001973	0.473255
-8.779994	-4.238479	3.260237	0.001976	0.473242
-8.603958	-4.224740	3.270234	0.001944	0.473511
-8.453998	-4.263371	3.280230	0.001917	0.473562
-8.493815	-4.247704	3.290227	0.001924	0.473570
-8.433268	-4.241862	3.300224	0.001913	0.473667
-8.420973	-4.181485	3.310221	0.001910	0.473896
-8.254089	-4.238441	3.320218	0.001880	0.473904
-8.350107	-4.179476	3.330214	0.001897	0.473994
-8.168536	-4.192447	3.340211	0.001864	0.474175
-8.350456	-4.132439	3.350208	0.001896	0.474163
-7.994872	-4.201678	3.360205	0.001832	0.474361
-8.052452	-4.148154	3.370202	0.001842	0.474479
-7.906720	-4.201508	3.380198	0.001815	0.474474
-7.886885	-4.182187	3.390195	0.001811	0.474568
