     #Energy        Mo_s        Mo_p        Mo_d         O_s         O_p
   -57.63470     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.61070     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.58770     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.56470     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.54170     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.51870     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.49470     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.47170     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.44870     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.42570     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.40270     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.37870     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.35570     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.33270     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.30970     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.28670     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.26370     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.23970     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.21670     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.19370     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.17070     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.14770     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.12370     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.10070     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.07770     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.05470     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.03170     0.00000     0.00000     0.00000     0.00000     0.00000
   -57.00870     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.98470     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.96170     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.93870     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.91570     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.89270     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.86870     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.84570     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.82270     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.79970     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.77670     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.75270     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.72970     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.70670     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.68370     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.66070     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.63770     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.61370     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.59070     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.56770     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.54470     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.52170     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.49770     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.47470     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.45170     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.42870     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.40570     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.38270     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.35870     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.33570     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.31270     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.28970     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.26670     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.24270     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.21970     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.19670     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.17370     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.15070     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.12670     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.10370     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.08070     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.05770     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.03470     0.00000     0.00000     0.00000     0.00000     0.00000
   -56.01170     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.98770     0.00000     0.00000     0.00000     0.00000     0.00000
   -55.96470     0.00000     0.00000     0.00000     0.00000     0.00000
